municipio_distrito,year,casos_confirmados_totales,tasa_incidencia_acumulada_total,renta_neta_media_persona
Arganzuela,2020,9115,134.69,19088
Barajas,2020,2608,121.054,19026
Carabanchel,2020,18300,164.3086,11679
Centro,2020,8567,144.37,18789
Chamartín,2020,8302,129.3368,27634
Chamberí,2020,8594,140.102,24881
Ciudad Lineal,2020,14023,147.3229545,16349
Fuencarral-El Pardo,2020,13386,123.6631818,20105
Hortaleza,2020,10230,123.5231818,20044
Latina,2020,15062,143.69,13179
Moncloa-Aravaca,2020,7732,147.1518182,24025
Moratalaz,2020,6222,149.4804545,15101
Puente de Vallecas,2020,21246,205.5893182,10402
Retiro,2020,6821,129.925,23262
Salamanca,2020,8710,135.442,25770
San Blas - Canillejas,2020,9332,134.1,14545
Tetuán,2020,9858,141.7802273,16354
Usera,2020,10798,175.6006818,10211
Vicálvaro,2020,4434,139.7854545,12916
Villa de Vallecas,2020,7029,144.7059091,12976
Villaverde,2020,11396,173.8734091,10540
Arganzuela,2021,16851,215.122,19088
Barajas,2021,5374,212.82,19026
Carabanchel,2021,24651,185.5056,11679
Centro,2021,17905,249.6996,18789
Chamartín,2021,17192,231.7228,27634
Chamberí,2021,18425,260.3816,24881
Ciudad Lineal,2021,23627,212.7704,16349
Fuencarral-El Pardo,2021,24899,197.5354,20105
Hortaleza,2021,19898,203.1222,20044
Latina,2021,23670,193.4414,13179
Moncloa-Aravaca,2021,15129,246.3118,24025
Moratalaz,2021,10046,208.8672,15101
Puente de Vallecas,2021,26951,219.204,10402
Retiro,2021,12975,214.6124,23262
Salamanca,2021,18266,245.7024,25770
San Blas - Canillejas,2021,16742,205.5464,14545
Tetuán,2021,16824,205.886,16354
Usera,2021,14066,193.0278,10211
Vicálvaro,2021,7428,197.566,12916
Villa de Vallecas,2021,11688,199.6914,12976
Villaverde,2021,15266,192.4056,10540
